Date,rf_annual,rf_monthly
2006-01-01,0.0424,0.0034664732719604796
2006-02-01,0.0443,0.0036187656874400176
2006-03-01,0.0451,0.0036828128357737633
2006-04-01,0.046,0.00375481218114615
2006-05-01,0.0472,0.003850723023570035
2006-06-01,0.0479,0.003906624499840028
2006-07-01,0.0495,0.004034270873583212
2006-08-01,0.0496,0.004042242847743793
2006-09-01,0.0481,0.003922590062980902
2006-10-01,0.0492,0.004010350772625237
2006-11-01,0.049400000000000006,0.004026298203094747
2006-12-01,0.048499999999999995,0.003954512812942346
2007-01-01,0.049800000000000004,0.004058184707589341
2007-02-01,0.050300000000000004,0.004098027180359898
2007-03-01,0.049400000000000006,0.004026298203094747
2007-04-01,0.0487,0.003970470001804172
2007-05-01,0.0473,0.0038587110455146068
2007-06-01,0.0461,0.0037628086026935126
2007-07-01,0.0482,0.003930571797319926
2007-08-01,0.042,0.003434379290046863
2007-09-01,0.038900000000000004,0.003185267308280393
2007-10-01,0.039,0.0031933138078821255
2007-11-01,0.0327,0.0026849924609559928
2007-12-01,0.03,0.0024662697723036864
2008-01-01,0.0275,0.0022632796417700884
2008-02-01,0.0212,0.0017497295255153311
2008-03-01,0.0126,0.0010439846190974933
2008-04-01,0.0129,0.0010686959582126843
2008-05-01,0.0173,0.0014303602255574255
2008-06-01,0.018600000000000002,0.0015369411743291206
2008-07-01,0.0163,0.0013482898900922802
2008-08-01,0.0172,0.001422156520640705
2008-09-01,0.0113,0.0009368245400691588
2008-10-01,0.0067,0.0005566260882747809
2008-11-01,0.0019,0.00015819561853080977
2008-12-01,0.0003,2.4996563158685703e-05
2009-01-01,0.0013,0.00010826883828274347
2009-02-01,0.003,0.00024965690741618474
2009-03-01,0.0021,0.00017483178814159395
2009-04-01,0.0016,0.0001332356553898073
2009-05-01,0.0018,0.00014987639212593606
2009-06-01,0.0018,0.00014987639212593606
2009-07-01,0.0018,0.00014987639212593606
2009-08-01,0.0017000000000000001,0.00014155640446089635
2009-09-01,0.0012,9.994504212973432e-05
2009-10-01,0.0007000000000000001,5.831462642125196e-05
2009-11-01,0.0005,4.165712110459907e-05
2009-12-01,0.0005,4.165712110459907e-05
2010-01-01,0.0006,4.99862552685304e-05
2010-02-01,0.0011,9.162048384192545e-05
2010-03-01,0.0015,0.00012491414476678564
2010-04-01,0.0016,0.0001332356553898073
2010-05-01,0.0016,0.0001332356553898073
2010-06-01,0.0012,9.994504212973432e-05
2010-07-01,0.0016,0.0001332356553898073
2010-08-01,0.0016,0.0001332356553898073
